Exercise,Age,Gender,BMI
Low-Intensity Dance Class,45,Male,29.42627467
Pilates,25,Male,21.28634599
Light Calisthenics,20,Male,27.8995916
Meditation and Deep Breathing,33,Male,33.72955245
Stretching Routine,29,Female,23.28611341
Golf (Walking),60,Female,34.71933604
Water Aerobics,18,Male,34.59464132
Light Calisthenics,42,Male,22.05010343
Stretching Routine,49,Male,30.94884687
Gardening,41,Male,31.22404465
Meditation and Deep Breathing,41,Male,34.01756731
Golf (Walking),35,Female,34.56511678
Golf (Walking),54,Female,34.52263692
Gardening,41,Male,28.9313826
Stretching Routine,19,Male,26.34012389
Pilates,54,Male,28.9570926
Low-Intensity Dance Class,38,Female,33.67888188
Stretching Routine,42,Male,23.89336292
Golf (Walking),40,Female,33.2386129
Water Aerobics,49,Male,20.44761953
Pilates,38,Male,24.8895933
Water Aerobics,29,Male,20.54155838
Golf (Walking),54,Female,30.59981568
Pilates,30,Male,33.35999724
Golf (Walking),45,Female,18.74376699
Stretching Routine,24,Male,31.57504828
Water Aerobics,56,Male,20.0330802
Stretching Routine,54,Male,18.94809579
Gardening,21,Male,21.339318
Qi Gong,55,Female,29.23556137
Light Calisthenics,47,Male,22.17566114
Meditation and Deep Breathing,24,Male,24.37234879
Golf (Walking),57,Female,30.42326681
Golf (Walking),30,Female,24.94641272
Gardening,52,Female,26.27883251
Gardening,20,Male,24.83308985
Water Aerobics,37,Male,34.36954017
Pilates,47,Female,28.17738168
Gardening,28,Female,21.77174362
Kayaking,57,Female,32.25019059
Kayaking,41,Female,27.39231586
Light Calisthenics,19,Male,22.21856755
Golf (Walking),32,Female,19.43018046
Water Aerobics,55,Male,31.76605422
Water Aerobics,39,Female,30.65263465
Low-Intensity Dance Class,32,Female,23.04409145
Stretching Routine,58,Male,26.22608119
Pilates,40,Male,20.05025199
Qi Gong,48,Female,25.8040189
Kayaking,36,Male,29.99401277
Low-Intensity Dance Class,35,Male,20.10679707
Stretching Routine,28,Male,24.51337316
Water Aerobics,37,Male,19.00649414
Golf (Walking),25,Female,33.61687435
Qi Gong,51,Male,34.29477546
Water Aerobics,28,Female,21.1134036
Meditation and Deep Breathing,27,Female,29.92696454
Water Aerobics,52,Male,20.23433582
Gardening,49,Female,22.83994622
Low-Intensity Dance Class,48,Male,34.1017927
Water Aerobics,40,Male,18.55321683
Pilates,47,Female,19.24402432
Qi Gong,40,Female,28.19329989
Golf (Walking),26,Male,34.31000845
Gardening,60,Female,26.38069687
Water Aerobics,20,Male,31.07880384
Kayaking,52,Male,21.65583392
Golf (Walking),50,Male,21.91606524
Qi Gong,36,Male,22.45509707
Light Calisthenics,40,Female,23.8444923
Water Aerobics,51,Male,28.62831618
Light Calisthenics,19,Female,25.38978365
Water Aerobics,32,Female,27.447053
Kayaking,58,Male,24.9464804
Qi Gong,25,Male,19.62559444
Gardening,60,Male,29.80454185
Stretching Routine,42,Female,27.81412391
Golf (Walking),59,Female,32.99199182
Stretching Routine,52,Female,32.3516948
Qi Gong,43,Female,19.14769677
Light Calisthenics,52,Male,32.27281532
Golf (Walking),27,Male,26.67828159
Golf (Walking),56,Female,22.06029777
Light Calisthenics,33,Female,31.64764776
Golf (Walking),57,Male,18.85074319
Kayaking,25,Female,21.63796084
Pilates,55,Male,34.0370336
Light Calisthenics,18,Female,28.68479934
Water Aerobics,40,Male,20.96051879
Qi Gong,43,Female,27.19984173
Water Aerobics,28,Male,24.3270678
Stretching Routine,57,Male,33.30809063
Light Calisthenics,36,Female,24.6627078
Qi Gong,35,Male,22.10955455
Water Aerobics,35,Male,23.4711098
Stretching Routine,40,Female,28.76920033
Kayaking,34,Female,21.47705405
Water Aerobics,57,Female,30.60448801
Low-Intensity Dance Class,41,Male,32.0156202
Kayaking,37,Male,34.25747047
Meditation and Deep Breathing,42,Male,30.16709554
Kayaking,27,Male,21.55475318
Qi Gong,53,Female,25.57786558
Water Aerobics,56,Female,33.17709401
Light Calisthenics,38,Male,24.52088084
Qi Gong,22,Male,32.70903152
Kayaking,28,Male,27.61331775
Stretching Routine,54,Male,21.38166209
Meditation and Deep Breathing,42,Female,27.29355873
Light Calisthenics,18,Male,34.1207098
Light Calisthenics,57,Female,23.15990606
Pilates,47,Female,31.35652295
Gardening,58,Female,32.09962909
Pilates,43,Male,28.66587115
Golf (Walking),58,Female,20.15866046
Pilates,23,Male,20.06185171
Water Aerobics,49,Female,26.4000158
Stretching Routine,39,Female,21.42123002
Pilates,34,Male,22.27836045
Low-Intensity Dance Class,19,Male,20.33647415
Low-Intensity Dance Class,32,Female,27.45571038
Meditation and Deep Breathing,43,Female,24.89526987
Stretching Routine,57,Female,31.4402438
Meditation and Deep Breathing,44,Female,28.29870262
Golf (Walking),34,Female,22.92826784
Water Aerobics,40,Female,28.11696786
Qi Gong,57,Female,22.21944956
Stretching Routine,59,Female,22.31779856
Kayaking,18,Female,31.96373669
Meditation and Deep Breathing,39,Male,24.11116561
Meditation and Deep Breathing,58,Female,29.31747581
Qi Gong,43,Female,29.69361279
Pilates,30,Male,30.5449893
Qi Gong,25,Female,21.62008808
Light Calisthenics,52,Female,21.25129781
Meditation and Deep Breathing,55,Female,33.35338189
Stretching Routine,43,Male,19.09399718
Light Calisthenics,29,Male,24.93561004
Stretching Routine,40,Male,20.03404579
Water Aerobics,29,Male,21.51597702
Meditation and Deep Breathing,36,Female,33.71839827
Golf (Walking),26,Female,24.40223101
Gardening,46,Female,28.94278738
Meditation and Deep Breathing,22,Male,26.34117322
Kayaking,44,Female,27.51271829
Light Calisthenics,44,Male,28.42239194
Golf (Walking),28,Male,28.59196993
Meditation and Deep Breathing,52,Male,27.55570647
Water Aerobics,26,Female,19.39886868
Water Aerobics,35,Male,22.85568356
Water Aerobics,56,Male,29.78677836
Kayaking,38,Female,21.34916053
Water Aerobics,23,Female,31.33151701
Golf (Walking),27,Female,22.51498621
Light Calisthenics,50,Female,24.54884642
Water Aerobics,23,Male,18.94521484
Meditation and Deep Breathing,54,Male,23.62638167
Water Aerobics,38,Female,26.50197594
Pilates,45,Male,24.49874184
Light Calisthenics,19,Female,19.49576172
Kayaking,60,Male,30.15399805
Water Aerobics,60,Male,25.12063694
Gardening,56,Male,22.66285542
Pilates,53,Male,26.06325689
Qi Gong,52,Female,20.68000992
Low-Intensity Dance Class,24,Female,32.39776582
Low-Intensity Dance Class,42,Male,23.19780894
Stretching Routine,19,Male,26.48644482
Pilates,26,Male,33.52926921
Low-Intensity Dance Class,49,Female,23.94210442
Pilates,51,Female,22.29424576
Meditation and Deep Breathing,18,Male,19.57181441
Meditation and Deep Breathing,35,Female,32.33269169
Meditation and Deep Breathing,54,Male,33.27434395
Qi Gong,49,Female,27.17379536
Water Aerobics,56,Male,22.68855345
Low-Intensity Dance Class,24,Female,30.9707873
Pilates,37,Female,22.99728844
Light Calisthenics,20,Female,32.29393205
Water Aerobics,51,Female,25.56755187
Gardening,21,Male,33.44114105
Gardening,31,Female,20.54830706
Stretching Routine,38,Female,28.01156596
Kayaking,25,Female,31.51282138
Meditation and Deep Breathing,18,Male,19.24520096
Pilates,27,Female,25.57548596
Pilates,52,Female,33.81707437
Low-Intensity Dance Class,49,Male,31.14741497
Low-Intensity Dance Class,48,Male,34.16084238
Stretching Routine,58,Female,27.66865811
Golf (Walking),60,Male,22.59039568
Meditation and Deep Breathing,42,Male,20.31656797
Kayaking,28,Female,28.69268691
Meditation and Deep Breathing,48,Male,25.2372257
Golf (Walking),51,Female,20.45067266
Low-Intensity Dance Class,53,Female,33.34423973
Pilates,25,Female,34.38153041
Golf (Walking),31,Male,26.13938514
Golf (Walking),34,Male,26.5913335
Pilates,43,Male,28.1726826
Meditation and Deep Breathing,22,Male,20.81564035
Gardening,40,Male,30.199875
Water Aerobics,24,Male,32.38559416
Light Calisthenics,59,Female,30.79285681
Low-Intensity Dance Class,53,Female,19.17657562
Stretching Routine,25,Female,20.53391978
Qi Gong,24,Male,21.69213114
Stretching Routine,19,Female,22.79244181
Meditation and Deep Breathing,44,Male,21.4929567
Water Aerobics,48,Female,22.05978155
Gardening,60,Male,26.40999771
Golf (Walking),52,Female,22.55585982
Meditation and Deep Breathing,60,Male,34.26105261
Meditation and Deep Breathing,45,Female,21.72348561
Light Calisthenics,30,Female,29.00556556
Meditation and Deep Breathing,35,Female,29.8985682
Golf (Walking),25,Male,33.82190219
Gardening,59,Female,34.00291981
Kayaking,44,Male,22.89634691
Kayaking,38,Male,29.2261896
Meditation and Deep Breathing,41,Male,31.7652518
Kayaking,50,Female,28.98058516
Kayaking,25,Female,24.50330969
Kayaking,25,Male,24.95522302
Water Aerobics,53,Female,30.97390197
Low-Intensity Dance Class,28,Female,24.64626143
Light Calisthenics,31,Female,30.90135908
Meditation and Deep Breathing,48,Female,19.25112935
Meditation and Deep Breathing,55,Male,31.22855908
Kayaking,39,Female,24.48579821
Pilates,42,Male,18.54234137
Pilates,48,Female,33.29581566
Qi Gong,34,Female,34.98571687
Pilates,20,Male,26.43131346
Light Calisthenics,48,Male,21.32289277
Gardening,32,Male,26.33741437
Golf (Walking),41,Female,20.95288539
Pilates,28,Female,22.69986994
Stretching Routine,54,Female,23.98040468
Stretching Routine,59,Female,29.72536235
Low-Intensity Dance Class,60,Female,21.77943765
Qi Gong,33,Male,25.62145083
Qi Gong,39,Male,34.1228394
Light Calisthenics,57,Male,26.50494475
Kayaking,21,Female,25.490055
Gardening,40,Male,32.2979395
Light Calisthenics,41,Female,22.99997405
Qi Gong,44,Female,25.09384749
Stretching Routine,19,Female,33.92163942
Golf (Walking),48,Male,29.80356061
Low-Intensity Dance Class,18,Male,25.23060779
Low-Intensity Dance Class,28,Female,34.63480035
Kayaking,37,Female,23.17639498
Meditation and Deep Breathing,38,Female,32.17548469
Pilates,22,Male,30.93797691
Meditation and Deep Breathing,58,Female,21.5512308
Pilates,24,Male,22.96582098
Low-Intensity Dance Class,60,Male,24.99600087
Gardening,59,Female,25.16837564
Pilates,40,Male,31.57757632
Pilates,57,Male,20.87132541
Qi Gong,29,Female,33.58432215
Light Calisthenics,35,Female,31.73631604
